注文ID,日付,店舗,カテゴリ,商品名,単価,数量,割引率,支払方法,担当者
ORD000001,2024/04/24,東京店,美容,化粧水,4672,2,20.0,PayPay,鈴木
ORD000002,2024/11/28,名古屋店,ゲーム,ゲームソフト,23081,9,5.0,クレジットカード,山本
ORD000001,2024/04/24,東京店,美容,化粧水,4672,2,20.0,PayPay,鈴木
ORD000003,2024-06-21,大阪店,衣類,靴下,3449,2,5.0,クレジットカード,渡辺
ORD000004,2024-11-17,名古屋店,本,小説,20367,6,10.0,PayPay,渡辺
ORD000005,2024-07-08,福岡店,本,漫画,11741,4,20.0,PayPay,鈴木
ORD000006,2024-06-15,オンライン,本,漫画,27718,1,0.0,クレジットカード,山本
ORD000007,2024-05-15,福岡店,家電,モニター,4675,4,20.0,交通系IC,鈴木
ORD000008,2024-02-26,東京店,ゲーム,コントローラー,5108,3,,現金,渡辺
ORD000009,2024-10-01,オンライン,食品,カップ麺,24704,5,,現金,山本
ORD000010,2024-11-16,名古屋店,ゲーム,ゲームソフト,9879,9,10.0,現金,渡辺
ORD000011,2024-06-06,東京店,本,小説,7946,1,0.0,PayPay,渡辺
ORD000012,2024-09-27,名古屋店,家電,モニター,28687,10,5.0,クレジットカード,田中
ORD000013,2024年05月06日,名古屋店,衣類,ジャケット,"¥7,462",2,0.0,交通系IC,佐藤
ORD000014,2024-05-01,広島店,食品,おにぎり,9225,8,0.0,現金,伊藤
ORD000015,2024-08-04,オンライン,食品,おにぎり,13570,8,,交通系IC,田中
ORD000016,2024-08-04,大阪店,家電,キーボード,6112,5,5.0,交通系IC,鈴木
ORD000017,2024/07/27,東京店,スポーツ,ダンベル,16013,8,0.0,クレジットカード,鈴木
ORD000018,2024-10-11,広島店,スポーツ,シューズ,21788,8,0.0,交通系IC,山本
ORD000019,2024-04-05,東京店,本,参考書,2345,10,0.0,現金,渡辺
ORD000020,2024-06-09,広島店 ,本,漫画,7921,5,5.0,クレジットカード,山本
ORD000021,2024-05-15,東京店,ゲーム,ゲームソフト,4440,6,0.0,クレジットカード,伊藤
ORD000022,2024-02-23,オンライン,美容,化粧水,28874,3,0.0,PayPay,山本
ORD000023,2024-01-27,名古屋店,美容,日焼け止め,不明,7,,交通系IC,田中
ORD000024,2024/03/17,東京店,本,小説,17977,1,,現金,山本
ORD000025,2024-05-07,広島店,スポーツ,ダンベル,21954,2,0.0,クレジットカード,山本
ORD000026,2024-06-19,福岡店,スポーツ,ヨガマット,25737,7,,現金,鈴木
ORD000027,2024-06-05,大阪店,本,参考書,"¥26,987",4,0.0,交通系IC,田中
ORD000028,2024-02-29,オンライン,美容,BBクリーム,28838,5,0.0,PayPay,佐藤
ORD000029,2024-01-23,福岡店,ゲーム,ゲームソフト,23325,7,0.0,クレジットカード,田中
ORD000030,2024-03-04,名古屋店,美容,日焼け止め,23684,5,10.0,PayPay,山本
ORD000031,2024-10-07,名古屋店,美容,シャンプー,27419,1,0.0,PayPay,高橋
ORD000032,2024-09-20,オンライン,本,参考書,21853,10,0.0,現金,田中
ORD000033,2024-10-21,福岡店,本,小説,6471,7,5.0,交通系IC,山本
ORD000034,2024-10-12,オンライン,家電,キーボード,8265,2,5.0,交通系IC,佐藤
ORD000035,2024-08-31,名古屋店,スポーツ,シューズ,14847,5,,交通系IC,鈴木
ORD000036,2024-10-03,広島店,衣類,ズボン,2740,3,0.0,PayPay,田中
ORD000037,2024-10-21,福岡店,家電,モニター,12564,8,0.0,現金,渡辺
ORD000038,2024-08-11,福岡店,スポーツ,ヨガマット,16013,1,5.0,クレジットカード,田中
ORD000039,2024-11-25,名古屋店,食品,水,14144,3,,現金,佐藤
ORD000040,2024-01-10,広島店,スポーツ,シューズ,24644,9,0.0,現金,高橋
ORD000041,2024-03-05,名古屋店,家電,マウス,15617,2,10.0,クレジットカード,鈴木
ORD000042,2024-01-14,広島店,スポーツ,ヨガマット,10322,10,20.0,現金,伊藤
ORD000043,2024年10月16日,オンライン,美容,日焼け止め,25745,1,0.0,現金,渡辺
ORD000044,2024-03-19,オンライン,本,漫画,14370,3,20.0,交通系IC,山本
ORD000045,2024-02-14,広島店,ゲーム,コントローラー,9239,8,0.0,クレジットカード,渡辺
ORD000046,2024-12-25,広島店,衣類,靴下,"¥28,939",5,10.0,PayPay,伊藤
ORD000047,2024-01-09,オンライン,美容,BBクリーム,3149,5,0.0,交通系IC,高橋
ORD000048,2024-06-05,広島店,ゲーム,コントローラー,8337,4,0.0,交通系IC,田中
ORD000049,2024-04-26,東京店,衣類,靴下,"¥11,925",3,0.0,クレジットカード,田中
ORD000050,2024-05-25,東京店,家電,モニター,15481,8,5.0,現金,伊藤
ORD000051,2024-03-17,オンライン,ゲーム,ヘッドセット,26679,10,0.0,現金,鈴木
ORD000052,2024-10-28,福岡店,本,雑誌,14151,5,10.0,PayPay,渡辺
ORD000053,2024-01-02,大阪店,家電,キーボード,13486,8,20.0,現金,鈴木
ORD000054,2024-04-25,福岡店,衣類,ズボン,21321,3,0.0,現金,伊藤
ORD000055,2024-07-25,オンライン,食品,水,9020,9,10.0,PayPay,山本
ORD000056,2024-01-21,オンライン,美容,化粧水,25105,3,5.0,PayPay,伊藤
ORD000057,2024-12-09,福岡店,本,漫画,3527,3,0.0,PayPay,田中
ORD000058,2024-09-20,東京店,衣類,靴下,27131,1,20.0,交通系IC,渡辺
ORD000059,2024-08-12,広島店,食品 ,パン,"¥28,963",8,0.0,クレジットカード,田中
ORD000060,2024-03-01,大阪店,本,小説,21324,3,5.0,現金,高橋
ORD000061,2024-02-05,大阪店,家電,モニター,9152,7,0.0,クレジットカード,渡辺
ORD000062,2024-06-19,福岡店,本,参考書,18185,9,5.0,交通系IC,田中
